timestamp,source_service,destination_service,http_method,path,status_code,latency_ms
2026-02-10T10:00:01.229Z,payment-svc,payments-db,POST,/db/write,200,21.86
2026-02-10T10:00:02.867Z,order-svc,payment-svc,POST,/internal/pay,200,57.83
2026-02-10T10:00:05.378Z,order-svc,inventory-svc,GET,/internal/stock,200,18.65
2026-02-10T10:00:08.314Z,payment-svc,payments-db,GET,/db/read,500,10.31
2026-02-10T10:00:10.207Z,payment-svc,payments-db,POST,/db/write,201,14.19
2026-02-10T10:00:13.063Z,user-svc,users-db,POST,/db/write,200,12.35
2026-02-10T10:00:17.048Z,order-svc,inventory-svc,POST,/internal/reserve,200,22.08
2026-02-10T10:00:21.026Z,order-svc,inventory-svc,POST,/internal/reserve,200,25.44
2026-02-10T10:00:24.363Z,order-svc,inventory-svc,POST,/internal/reserve,200,17.76
2026-02-10T10:00:27.085Z,order-svc,orders-db,POST,/db/write,200,10.51
2026-02-10T10:00:28.949Z,api-gateway,order-svc,POST,/api/orders,200,34.2
2026-02-10T10:00:30.085Z,order-svc,payment-svc,POST,/internal/pay,201,43.29
2026-02-10T10:00:32.635Z,payment-svc,payments-db,GET,/db/read,200,10.9
2026-02-10T10:00:36.483Z,payment-svc,payments-db,POST,/db/write,200,20.89
2026-02-10T10:00:40.345Z,order-svc,orders-db,POST,/db/write,200,8.46
2026-02-10T10:00:44.666Z,user-svc,users-db,POST,/db/write,200,11.43
2026-02-10T10:00:45.832Z,user-svc,users-db,POST,/db/write,200,14.49
2026-02-10T10:00:49.738Z,order-svc,payment-svc,POST,/internal/pay,200,36.6
2026-02-10T10:00:53.532Z,payment-svc,payments-db,GET,/db/read,200,11.19
2026-02-10T10:00:55.865Z,order-svc,inventory-svc,GET,/internal/stock,201,15.21
2026-02-10T10:01:00.229Z,user-svc,users-db,POST,/db/write,200,17.48
2026-02-10T10:01:02.595Z,payment-svc,payments-db,POST,/db/write,200,22.72
2026-02-10T10:01:04.798Z,user-svc,users-db,POST,/db/write,200,14.48
2026-02-10T10:01:07.262Z,payment-svc,payments-db,GET,/db/read,201,10.09
2026-02-10T10:01:10.733Z,payment-svc,payments-db,GET,/db/read,200,12.5
2026-02-10T10:01:15.320Z,api-gateway,order-svc,POST,/api/orders,200,34.79
2026-02-10T10:01:19.351Z,order-svc,payment-svc,POST,/internal/pay,200,46.53
2026-02-10T10:01:20.510Z,api-gateway,user-svc,GET,/api/users,200,20.66
2026-02-10T10:01:24.806Z,payment-svc,payments-db,POST,/db/write,200,17.05
2026-02-10T10:01:27.955Z,order-svc,payment-svc,POST,/internal/pay,201,32.98
2026-02-10T10:01:32.318Z,payment-svc,notification-svc,POST,/notify/payment,200,29.85
2026-02-10T10:01:36.569Z,api-gateway,order-svc,POST,/api/orders,200,41.68
2026-02-10T10:01:38.155Z,payment-svc,notification-svc,POST,/notify/payment,200,30.4
2026-02-10T10:01:40.034Z,user-svc,users-db,GET,/db/read,200,11.89
2026-02-10T10:01:42.494Z,user-svc,users-db,POST,/db/write,201,15.81
2026-02-10T10:01:44.574Z,order-svc,inventory-svc,POST,/internal/reserve,200,23.57
2026-02-10T10:01:48.926Z,api-gateway,user-svc,POST,/api/users,201,38.5
2026-02-10T10:01:51.377Z,api-gateway,user-svc,GET,/api/users,201,19.06
2026-02-10T10:01:55.177Z,order-svc,inventory-svc,POST,/internal/reserve,200,30.71
2026-02-10T10:01:56.779Z,payment-svc,payments-db,POST,/db/write,201,21.7
2026-02-10T10:01:59.842Z,payment-svc,payments-db,POST,/db/write,201,23.45
2026-02-10T10:02:04.098Z,api-gateway,order-svc,POST,/api/orders,200,27.95
2026-02-10T10:02:07.369Z,api-gateway,order-svc,POST,/api/orders,200,39.84
2026-02-10T10:02:12.162Z,api-gateway,user-svc,GET,/api/users,200,19.82
2026-02-10T10:02:13.891Z,payment-svc,payments-db,POST,/db/write,200,21.06
2026-02-10T10:02:16.895Z,order-svc,payment-svc,POST,/internal/pay,201,43.4
2026-02-10T10:02:19.936Z,payment-svc,payments-db,GET,/db/read,200,10.23
2026-02-10T10:02:22.925Z,order-svc,inventory-svc,POST,/internal/reserve,200,21.09
2026-02-10T10:02:27.578Z,user-svc,users-db,GET,/db/read,200,8.69
2026-02-10T10:02:29.374Z,payment-svc,payments-db,POST,/db/write,200,16.1
2026-02-10T10:02:32.377Z,payment-svc,payments-db,GET,/db/read,200,10.49
2026-02-10T10:02:33.551Z,api-gateway,order-svc,POST,/api/orders,200,40.76
2026-02-10T10:02:34.890Z,api-gateway,order-svc,GET,/api/orders,200,30.42
2026-02-10T10:02:37.006Z,order-svc,orders-db,POST,/db/write,200,8.46
2026-02-10T10:02:38.216Z,user-svc,users-db,GET,/db/read,200,7.12
2026-02-10T10:02:42.279Z,payment-svc,notification-svc,POST,/notify/payment,200,30.62
2026-02-10T10:02:46.748Z,payment-svc,payments-db,GET,/db/read,200,14.36
2026-02-10T10:02:48.777Z,payment-svc,payments-db,POST,/db/write,200,19.67
2026-02-10T10:02:52.180Z,order-svc,orders-db,POST,/db/write,200,10.48
2026-02-10T10:02:53.416Z,payment-svc,notification-svc,POST,/notify/payment,200,31.27
2026-02-10T10:02:55.826Z,order-svc,inventory-svc,GET,/internal/stock,200,14.44
2026-02-10T10:03:00.807Z,api-gateway,order-svc,GET,/api/orders,201,18.99
2026-02-10T10:03:05.415Z,payment-svc,notification-svc,POST,/notify/payment,201,30.01
2026-02-10T10:03:08.553Z,user-svc,users-db,POST,/db/write,201,15.37
2026-02-10T10:03:09.749Z,user-svc,users-db,POST,/db/write,200,16.26
2026-02-10T10:03:13.161Z,api-gateway,user-svc,GET,/api/users,200,14.4
2026-02-10T10:03:15.788Z,order-svc,inventory-svc,GET,/internal/stock,200,15.88
2026-02-10T10:03:18.514Z,payment-svc,notification-svc,POST,/notify/payment,200,36.53
2026-02-10T10:03:21.039Z,order-svc,inventory-svc,POST,/internal/reserve,200,21.54
2026-02-10T10:03:23.619Z,payment-svc,payments-db,POST,/db/write,200,20.98
2026-02-10T10:03:28.177Z,api-gateway,user-svc,POST,/api/users,200,32.79
2026-02-10T10:03:32.897Z,user-svc,users-db,POST,/db/write,200,17.29
2026-02-10T10:03:36.840Z,api-gateway,user-svc,GET,/api/users,201,24.42
2026-02-10T10:03:38.795Z,order-svc,orders-db,POST,/db/write,200,12.72
2026-02-10T10:03:42.475Z,order-svc,orders-db,POST,/db/write,200,7.8
2026-02-10T10:03:45.823Z,order-svc,inventory-svc,POST,/internal/reserve,201,24.83
2026-02-10T10:03:47.542Z,api-gateway,user-svc,POST,/api/users,200,28.3
2026-02-10T10:03:52.434Z,user-svc,users-db,GET,/db/read,200,7.07
2026-02-10T10:03:56.222Z,order-svc,inventory-svc,GET,/internal/stock,200,13.25
2026-02-10T10:03:59.840Z,order-svc,inventory-svc,GET,/internal/stock,201,18.89
2026-02-10T10:04:01.494Z,order-svc,inventory-svc,GET,/internal/stock,200,18.7
2026-02-10T10:04:02.702Z,payment-svc,notification-svc,POST,/notify/payment,200,38.68
2026-02-10T10:04:05.596Z,api-gateway,user-svc,GET,/api/users,200,17.16
2026-02-10T10:04:10.214Z,user-svc,users-db,GET,/db/read,200,9.78
2026-02-10T10:04:14.690Z,order-svc,inventory-svc,GET,/internal/stock,200,12.12
2026-02-10T10:04:18.799Z,order-svc,orders-db,POST,/db/write,200,7.37
2026-02-10T10:04:20.641Z,order-svc,inventory-svc,POST,/internal/reserve,200,26.88
2026-02-10T10:04:21.905Z,payment-svc,payments-db,GET,/db/read,200,11.12
2026-02-10T10:04:26.304Z,user-svc,users-db,GET,/db/read,200,12.08
2026-02-10T10:04:31.289Z,payment-svc,payments-db,POST,/db/write,200,22.13
2026-02-10T10:04:35.486Z,api-gateway,user-svc,GET,/api/users,201,14.42
2026-02-10T10:04:39.052Z,api-gateway,order-svc,GET,/api/orders,200,26.98
2026-02-10T10:04:41.046Z,user-svc,users-db,POST,/db/write,200,17.86
2026-02-10T10:04:44.261Z,payment-svc,payments-db,POST,/db/write,200,18.77
2026-02-10T10:04:48.502Z,order-svc,orders-db,POST,/db/write,200,9.65
2026-02-10T10:04:52.242Z,api-gateway,user-svc,GET,/api/users,200,21.37
2026-02-10T10:04:56.079Z,user-svc,users-db,POST,/db/write,200,16.76
2026-02-10T10:05:00.779Z,user-svc,users-db,POST,/db/write,200,16.54
2026-02-10T10:05:04.412Z,payment-svc,notification-svc,POST,/notify/payment,200,27.27
2026-02-10T10:05:07.628Z,api-gateway,user-svc,GET,/api/users,201,14.69
2026-02-10T10:05:08.710Z,user-svc,users-db,POST,/db/write,200,14.89
2026-02-10T10:05:09.796Z,api-gateway,user-svc,POST,/api/users,200,23.75
2026-02-10T10:05:13.009Z,payment-svc,notification-svc,POST,/notify/payment,200,26.18
2026-02-10T10:05:14.353Z,payment-svc,payments-db,POST,/db/write,201,21.21
2026-02-10T10:05:15.709Z,api-gateway,order-svc,POST,/api/orders,200,40.74
2026-02-10T10:05:20.339Z,payment-svc,payments-db,POST,/db/write,201,22.89
2026-02-10T10:05:24.504Z,payment-svc,payments-db,GET,/db/read,200,8.69
2026-02-10T10:05:28.509Z,payment-svc,payments-db,GET,/db/read,201,9.22
2026-02-10T10:05:33.092Z,api-gateway,order-svc,POST,/api/orders,200,31.66
2026-02-10T10:05:36.028Z,order-svc,inventory-svc,GET,/internal/stock,201,16.9
2026-02-10T10:05:37.335Z,order-svc,payment-svc,POST,/internal/pay,200,47.04
2026-02-10T10:05:42.034Z,api-gateway,order-svc,GET,/api/orders,200,19.25
2026-02-10T10:05:44.724Z,order-svc,payment-svc,POST,/internal/pay,200,49.63
2026-02-10T10:05:45.964Z,user-svc,users-db,GET,/db/read,201,10.52
2026-02-10T10:05:49.647Z,payment-svc,payments-db,POST,/db/write,200,19.63
2026-02-10T10:05:51.920Z,payment-svc,notification-svc,POST,/notify/payment,200,23.39
2026-02-10T10:05:56.001Z,user-svc,users-db,POST,/db/write,200,13.75
2026-02-10T10:05:57.084Z,payment-svc,payments-db,POST,/db/write,200,14.09
2026-02-10T10:05:58.457Z,order-svc,inventory-svc,POST,/internal/reserve,200,20.57
2026-02-10T10:06:03.294Z,payment-svc,notification-svc,POST,/notify/payment,200,25.6
2026-02-10T10:06:04.540Z,payment-svc,payments-db,POST,/db/write,201,22.39
2026-02-10T10:06:07.149Z,user-svc,users-db,GET,/db/read,201,7.21
2026-02-10T10:06:11.900Z,payment-svc,notification-svc,POST,/notify/payment,200,28.33
2026-02-10T10:06:13.966Z,api-gateway,user-svc,GET,/api/users,200,21.86
2026-02-10T10:06:18.327Z,order-svc,inventory-svc,GET,/internal/stock,200,12.91
2026-02-10T10:06:20.719Z,payment-svc,payments-db,POST,/db/write,201,17.5
2026-02-10T10:06:25.335Z,payment-svc,payments-db,POST,/db/write,200,18.33
2026-02-10T10:06:28.211Z,order-svc,orders-db,POST,/db/write,200,10.69
2026-02-10T10:06:33.054Z,order-svc,inventory-svc,GET,/internal/stock,200,16.0
2026-02-10T10:06:35.801Z,api-gateway,order-svc,GET,/api/orders,200,29.7
2026-02-10T10:06:40.461Z,payment-svc,payments-db,POST,/db/write,201,24.25
2026-02-10T10:06:41.851Z,payment-svc,payments-db,GET,/db/read,200,8.79
2026-02-10T10:06:44.823Z,api-gateway,user-svc,POST,/api/users,200,36.68
2026-02-10T10:06:48.368Z,order-svc,orders-db,POST,/db/write,201,11.73
2026-02-10T10:06:50.935Z,api-gateway,order-svc,GET,/api/orders,201,25.09
2026-02-10T10:06:54.876Z,api-gateway,order-svc,POST,/api/orders,200,45.49
2026-02-10T10:06:57.334Z,order-svc,orders-db,POST,/db/write,200,8.91
2026-02-10T10:07:01.040Z,user-svc,users-db,GET,/db/read,201,11.25
2026-02-10T10:07:03.337Z,order-svc,inventory-svc,POST,/internal/reserve,200,20.35
2026-02-10T10:07:07.189Z,payment-svc,notification-svc,POST,/notify/payment,201,30.64
2026-02-10T10:07:11.163Z,api-gateway,user-svc,POST,/api/users,200,21.29
2026-02-10T10:07:15.545Z,payment-svc,notification-svc,POST,/notify/payment,200,30.68
2026-02-10T10:07:17.159Z,api-gateway,user-svc,POST,/api/users,200,37.41
2026-02-10T10:07:19.221Z,api-gateway,order-svc,GET,/api/orders,200,32.2
